a,b,c,n,v
2017-12-28,2017-12-29,2017-12-28,gf,91.3
2018-01-28,2018-01-29,2017-11-29,br,91.3
2017-12-24,2017-12-25,2017-12-23,ch,91.3
2018-03-29,2018-03-30,2018-02-12,rs,91.3
2018-03-10,2018-03-11,2018-03-07,pl,91.3
2018-05-04,2018-05-05,2018-05-04,ch,91.3
2018-04-01,2018-04-02,2018-03-25,ch,91.3
2018-07-01,2018-07-02,2018-06-26,cn,91.5
2017-12-16,2017-12-17,2017-12-11,ch,91.5
2017-12-16,2017-12-17,2017-12-11,ch,91.5
2018-03-16,2018-03-17,2018-03-16,gf,91.7
2018-03-16,2018-03-17,2018-03-16,gf,91.7
2018-06-03,2018-06-04,2018-05-31,gf,92
2018-05-06,2018-05-07,2018-04-24,gb,92.3
2018-01-04,2018-01-05,2017-12-13,ch,92.3
2018-03-25,2018-03-26,2018-03-23,ch,92.3
2018-01-20,2018-01-21,2018-01-18,ch,92.3
2018-04-22,2018-04-23,2018-04-22,jp,92.3
2018-05-06,2018-05-07,2018-04-24,gb,92.3
2018-05-18,2018-05-19,2018-05-18,ch,92.3
2017-12-28,2017-12-29,2017-12-28,kr,92.3
2017-12-15,2017-12-16,2017-12-11,ch,92.3
2018-05-06,2018-05-07,2018-05-03,null,92.7
2018-01-22,2018-01-23,2018-01-15,ch,92.7
2019-01-10,2019-01-11,2019-01-11,ch,92.8
2018-05-10,2018-05-11,2018-05-10,de,93
2018-06-03,2018-06-04,2018-06-02,au,93.3
2018-03-18,2018-03-19,2018-03-17,de,93.3
2018-04-14,2018-04-15,2018-04-13,ch,93.3
2018-03-02,2018-03-03,2018-03-02,se,93.3
2018-01-13,2018-01-14,2018-01-01,gf,93.3
2018-12-26,2018-12-27,2018-12-21,gb,93.3
2018-03-30,2018-03-31,2018-03-27,ch,93.3
2018-02-11,2018-02-12,2018-02-10,ch,93.3
2018-12-26,2018-12-27,2018-12-26,gb,93.3
2018-02-09,2018-02-10,2018-02-09,ch,93.3
2018-03-30,2018-03-31,2018-03-30,ch,93.3
2018-01-19,2018-01-20,2018-01-16,de,93.3
2017-12-16,2017-12-17,2017-11-29,ch,93.3
2018-03-11,2018-03-12,2018-03-09,gq,93.4
2018-08-05,2018-08-06,2018-08-05,cn,93.5
2018-07-21,2018-07-22,2018-07-21,cn,93.5
2018-07-31,2018-08-01,2018-07-31,cn,93.5
2018-07-22,2018-07-23,2018-07-22,cn,93.5
2018-04-22,2018-04-23,2018-04-16,cn,93.5
2018-02-24,2018-02-25,2018-02-23,ch,93.65
2018-03-03,2018-03-04,2018-02-28,de,93.65
2018-11-26,2018-11-27,2018-11-25,ch,94
2017-12-18,2017-12-19,2017-12-11,ch,94.3
2018-04-07,2018-04-08,2018-04-03,ch,94.3
2018-04-01,2018-04-02,2018-03-26,ch,94.3
2018-04-29,2018-04-30,2018-04-27,de,94.3
2018-05-10,2018-05-11,2018-05-08,gb,94.3
2018-05-21,2018-05-22,2018-05-12,ae,94.3
2018-01-03,2018-01-04,2017-12-28,jo,94.3
2018-04-22,2018-04-23,2018-04-16,it,94.3
2018-05-10,2018-05-11,2018-05-08,ch,94.3
2018-01-04,2018-01-05,2018-01-02,ch,94.3
2018-04-08,2018-04-09,2018-04-08,de,94.3
2018-05-05,2018-05-06,2018-05-04,gf,94.3
2018-05-18,2018-05-19,2018-05-18,ch,94.3
2018-01-04,2018-01-05,2018-01-01,ch,94.3
2018-01-08,2018-01-09,2018-01-03,ru,94.3
2018-01-14,2018-01-15,2018-01-14,ch,94.3
2018-01-06,2018-01-07,2018-01-04,de,94.3
2018-01-05,2018-01-06,2018-01-05,at,94.3
2018-04-02,2018-04-03,2018-03-30,ru,94.3
2018-01-05,2018-01-06,2018-01-05,gf,94.3
2019-01-02,2019-01-03,2019-01-02,ch,94.4
2018-05-13,2018-05-14,2018-05-12,gf,94.6
2017-12-30,2017-12-31,2017-12-30,at,95
2018-08-02,2018-08-03,2018-08-02,gf,95.3
2018-06-28,2018-06-29,2018-06-23,de,95.3
2017-12-20,2017-12-21,2017-10-26,de,95.3
2018-01-04,2018-01-05,2018-01-03,nl,95.3
2018-06-07,2018-06-08,2018-01-11,de,95.3
2018-12-05,2018-12-06,2018-07-23,de,95.3
2018-03-18,2018-03-19,2018-03-09,de,95.3
2017-12-27,2017-12-28,2017-12-27,gf,95.3
2018-04-05,2018-04-06,2018-01-11,de,95.3
2018-10-18,2018-10-19,2018-07-23,de,95.3
2018-03-29,2018-03-30,2018-03-08,be,95.3
2018-07-30,2018-07-31,2018-07-23,de,95.3
2018-01-18,2018-01-19,2017-10-26,de,95.3
2018-02-03,2018-02-04,2018-01-16,pl,95.3
2018-06-14,2018-06-15,2018-01-11,de,95.3
2018-12-13,2018-12-14,2018-07-23,de,95.3
2018-04-19,2018-04-20,2018-01-11,de,95.3
2018-10-25,2018-10-26,2018-07-23,de,95.3
2018-03-04,2018-03-05,2018-03-04,ch,95.3
2018-08-23,2018-08-24,2018-07-23,de,95.3
2018-04-08,2018-04-09,2018-02-25,de,95.3
2018-03-29,2018-03-30,2018-03-02,kr,95.3
2018-11-06,2018-11-07,2018-10-30,ch,95.3
2018-06-20,2018-06-21,2018-01-11,de,95.3
2017-12-27,2017-12-28,2017-12-27,gf,95.3
2018-05-03,2018-05-04,2018-01-11,de,95.3
2018-11-05,2018-11-06,2018-07-23,de,95.3
2018-04-27,2018-04-28,2018-01-05,de,95.3
2018-02-21,2018-02-22,2018-01-11,de,95.3
2018-09-06,2018-09-07,2018-07-23,de,95.3
2018-01-11,2018-01-12,2018-01-10,de,95.3
2018-03-08,2018-03-09,2018-02-19,de,95.3
2019-01-03,2019-01-04,2018-12-19,de,95.3
2018-05-17,2018-05-18,2018-01-11,de,95.3
2018-11-15,2018-11-16,2018-07-23,de,95.3
2017-12-22,2017-12-23,2017-11-29,de,95.3
2018-03-15,2018-03-16,2018-01-11,de,95.3
2018-03-18,2018-03-19,2018-02-19,ch,95.3
2018-05-31,2018-06-01,2018-01-11,de,95.3
2018-11-22,2018-11-23,2018-07-23,de,95.3
2018-09-27,2018-09-28,2018-07-23,de,95.3
2018-01-28,2018-01-29,2018-01-27,ch,95.5
2017-12-15,2017-12-16,2017-12-09,ch,95.55
2018-05-06,2018-05-07,2018-05-04,nl,95.8
2018-08-10,2018-08-11,2018-04-15,ch,96
2018-05-27,2018-05-28,2018-05-27,ch,96.3
2018-05-27,2018-05-28,2018-05-28,ch,96.3
2018-01-27,2018-01-28,2017-12-10,ch,96.3
2018-05-10,2018-05-11,2018-05-10,gf,96.3
2018-01-12,2018-01-13,2018-01-12,ch,96.3
2018-03-15,2018-03-16,2018-03-16,gf,96.3
2018-05-27,2018-05-28,2018-05-18,ru,96.3
2018-05-04,2018-05-05,2018-05-04,ch,96.3
2018-04-22,2018-04-23,2018-04-22,ru,96.3
2018-01-27,2018-01-28,2017-12-14,br,96.3
2018-01-20,2018-01-21,2018-01-18,ch,96.3
2018-04-13,2018-04-14,2018-04-13,de,96.4
2018-05-13,2018-05-14,2018-05-09,kr,96.8
2019-01-07,2019-01-08,2019-01-07,cn,97.1
2018-01-26,2018-01-27,2018-01-21,ch,97.3
2018-03-03,2018-03-04,2018-03-04,gf,97.3
2018-02-12,2018-02-13,2018-02-05,ch,97.3
2018-07-15,2018-07-16,2018-05-02,br,97.3
2018-02-05,2018-02-06,2018-01-17,ch,97.3
2018-02-18,2018-02-19,2018-02-11,ch,97.3
2018-01-08,2018-01-09,2017-12-12,ch,97.3
2018-04-21,2018-04-22,2018-04-18,gf,97.3
2017-12-25,2017-12-26,2017-12-07,kr,97.3
2018-02-05,2018-02-06,2018-02-05,ch,97.3
2018-01-27,2018-01-28,2018-01-22,ua,97.3
2018-04-14,2018-04-15,2018-04-07,ch,97.4
2018-06-16,2018-06-17,2018-06-14,ch,97.4
2018-05-21,2018-05-22,2018-05-21,hk,98
2018-03-23,2018-03-24,2018-03-23,at,98
2018-06-03,2018-06-04,2018-06-03,gf,98.3
2018-09-16,2018-09-17,2018-09-10,de,98.3
2017-12-16,2017-12-17,2017-12-12,ch,98.3
2018-04-14,2018-04-15,2018-04-14,gb,98.3
2018-02-24,2018-02-25,2018-02-21,at,98.3
2018-03-16,2018-03-17,2018-01-23,ch,98.3
2018-04-15,2018-04-16,2018-04-11,ch,98.3
2018-02-04,2018-02-05,2018-02-04,ch,98.3
2018-02-04,2018-02-05,2018-01-15,null,98.3
2018-09-16,2018-09-17,2018-08-23,ru,98.3
2018-12-09,2018-12-10,2018-12-07,gf,98.3
2018-02-02,2018-02-03,2018-01-05,kr,98.3
2018-03-24,2018-03-25,2018-03-07,ch,98.3
2018-07-21,2018-07-22,2018-07-21,gf,98.3
2018-12-16,2018-12-17,2018-12-16,ch,98.3
2018-03-18,2018-03-19,2018-03-17,ch,98.3
2018-07-28,2018-07-29,2018-05-28,ch,98.3
2018-02-04,2018-02-05,2018-01-15,ch,98.3
2018-09-28,2018-09-29,2018-09-25,de,98.3
2018-05-01,2018-05-02,2018-04-30,gf,98.4
2018-04-07,2018-04-08,2018-03-13,jp,99.3
2018-01-05,2018-01-06,2017-12-23,ch,99.3
2018-05-13,2018-05-14,2018-05-13,ch,99.3
2018-05-13,2018-05-14,2018-05-13,ch,99.3
2018-01-03,2018-01-04,2018-01-01,ch,99.3
2018-01-03,2018-01-04,2018-01-03,ch,99.3
2018-04-13,2018-04-14,2018-04-03,ch,99.3
2018-05-13,2018-05-14,2018-05-09,ch,99.3
2018-01-02,2018-01-03,2017-12-17,jp,99.3
2018-05-18,2018-05-19,2018-05-04,ch,99.3
2018-04-02,2018-04-03,2018-03-23,dk,99.3
2018-05-13,2018-05-14,2018-05-13,ch,99.3
2018-04-28,2018-04-29,2018-04-26,gf,99.3
2018-01-06,2018-01-07,2017-12-17,dk,99.3
2018-05-20,2018-05-21,2018-05-16,us,99.3
2018-01-02,2018-01-03,2017-12-27,jp,99.3
2017-12-16,2017-12-17,2017-12-14,ch,99.3
2018-01-02,2018-01-03,2017-12-17,jp,99.3
2018-10-13,2018-10-14,2018-10-01,de,99.3
2018-05-21,2018-05-22,2018-05-21,us,99.3
2017-12-23,2017-12-24,2017-11-29,ch,99.35
2018-04-20,2018-04-21,2017-11-29,de,99.35
2018-04-21,2018-04-22,2018-04-21,gf,100
2017-12-24,2017-12-25,2017-12-23,null,100
2018-03-14,2018-03-15,2018-03-09,gf,100
2018-07-08,2018-07-09,2018-05-10,gb,100.3
2018-03-11,2018-03-12,2018-03-11,ch,100.3
2018-07-19,2018-07-20,2018-07-20,at,100.3
2017-12-22,2017-12-23,2017-12-21,ch,100.3
2018-05-11,2018-05-12,2018-04-27,au,100.3
2017-12-21,2017-12-22,2017-12-20,at,100.3
2018-04-20,2018-04-21,2018-04-17,ch,100.3
2018-05-04,2018-05-05,2018-05-04,gf,100.3
2019-01-10,2019-01-11,2019-01-03,de,100.3
2018-03-02,2018-03-03,2017-11-09,ch,100.3
2018-02-25,2018-02-26,2018-02-23,ch,100.3
2018-04-20,2018-04-21,2018-04-17,ch,100.3
2017-12-17,2017-12-18,2017-12-04,fr,100.3
2018-07-08,2018-07-09,2018-05-10,gb,100.3
2018-09-29,2018-09-30,2018-09-25,cn,100.5
2017-12-31,2018-01-01,2017-12-28,us,100.5
2018-03-28,2018-03-29,2018-03-25,cn,100.7
2018-04-09,2018-04-10,2018-04-08,gf,101.25
2017-12-28,2017-12-29,2017-12-05,ch,101.3
2018-05-07,2018-05-08,2018-05-03,ch,101.3
2018-01-06,2018-01-07,2017-12-23,ch,101.3
2018-01-26,2018-01-27,2017-12-16,null,101.3
2018-01-06,2018-01-07,2017-12-23,ch,101.3
2018-12-29,2018-12-30,2018-12-27,ro,101.3
2018-12-18,2018-12-19,2018-12-18,ch,101.3
2018-09-23,2018-09-24,2018-09-23,ch,101.3
2017-12-21,2017-12-22,2017-12-21,ch,101.3
2018-06-03,2018-06-04,2018-05-28,gr,101.3
2018-02-09,2018-02-10,2018-02-07,vn,101.3
2018-04-15,2018-04-16,2018-04-02,ca,101.3
2018-12-19,2018-12-20,2018-12-13,ch,101.3
2018-01-17,2018-01-18,2018-01-14,de,101.3
2018-03-31,2018-04-01,2018-03-14,es,101.3
2018-08-31,2018-09-01,2018-08-29,ch,101.3
2018-12-08,2018-12-09,2018-12-06,ch,101.3
2018-05-07,2018-05-08,2018-05-03,ch,101.3
2018-01-06,2018-01-07,2017-12-23,ch,101.3
2018-08-05,2018-08-06,2018-08-03,de,101.3
2018-12-19,2018-12-20,2018-12-19,ch,101.3
2018-12-22,2018-12-23,2018-12-21,ch,101.3
2018-12-17,2018-12-18,2018-12-11,de,101.4
2018-09-23,2018-09-24,2018-09-24,ch,102
2018-02-12,2018-02-13,2018-01-25,de,102
2019-01-06,2019-01-08,2018-12-27,gb,102
2018-04-13,2018-04-14,2018-04-05,ch,102.3
2017-12-26,2017-12-27,2017-11-29,fr,102.3
2018-08-01,2018-08-02,2018-08-02,ch,102.3
2018-03-03,2018-03-04,2018-03-01,ch,102.3
2018-03-09,2018-03-10,2018-02-28,null,102.3
2018-05-10,2018-05-11,2018-05-10,ch,102.3
2018-02-08,2018-02-09,2018-02-07,gf,102.3
2018-11-30,2018-12-01,2018-01-17,ch,102.3
2017-12-15,2017-12-16,2017-11-29,at,102.3
2018-03-03,2018-03-04,2018-03-02,ch,102.3
2018-03-03,2018-03-04,2018-02-20,at,102.3
2018-06-10,2018-06-11,2018-06-05,gb,102.3
2018-02-05,2018-02-06,2018-01-29,ch,102.3
2018-02-22,2018-02-23,2018-02-22,in,102.3
2018-03-17,2018-03-18,2018-03-07,ch,102.3
2017-12-30,2017-12-31,2017-12-11,gf,102.3
2018-05-10,2018-05-11,2018-05-05,ch,102.3
2018-05-01,2018-05-02,2018-04-27,gf,102.3
2018-07-14,2018-07-15,2018-03-12,ch,102.3
2018-09-02,2018-09-03,2018-08-30,de,102.5
2018-09-02,2018-09-03,2018-08-30,de,102.5
2018-03-23,2018-03-24,2018-03-23,de,102.5
2018-06-16,2018-06-17,2018-06-15,cn,102.5
2018-08-26,2018-08-27,2018-08-23,de,102.5
2018-05-05,2018-05-06,2018-04-15,ch,103
2018-04-21,2018-04-22,2018-04-11,gf,103.15
2018-04-21,2018-04-22,2018-04-14,ch,103.2
2018-10-25,2018-10-26,2018-09-28,ch,103.2
2018-12-17,2018-12-18,2018-10-16,ch,103.2
2018-08-09,2018-08-10,2018-03-02,ch,103.2
2018-11-10,2018-11-11,2018-10-24,de,103.3
2018-01-13,2018-01-14,2017-12-28,be,103.3
2018-01-26,2018-01-27,2018-01-13,ch,103.3
2018-06-24,2018-06-25,2018-06-23,gb,103.3
2018-07-07,2018-07-08,2018-07-07,gb,103.3
2018-04-30,2018-05-01,2018-04-28,ch,103.3
2018-10-21,2018-10-22,2018-10-19,hk,103.3
2018-08-03,2018-08-04,2018-08-03,ch,103.3
2018-11-23,2018-11-24,2018-11-23,ch,103.3
2018-11-24,2018-11-25,2018-11-23,ar,103.3
2018-12-08,2018-12-09,2018-12-04,ch,103.3
2018-09-09,2018-09-10,2018-09-07,ch,103.3
2018-04-20,2018-04-21,2018-04-15,ch,103.3
2018-12-21,2018-12-22,2018-12-18,fr,103.3
2018-12-20,2018-12-21,2018-12-20,ch,103.3
2018-09-28,2018-09-29,2018-09-27,ch,103.3
2018-09-28,2018-09-29,2018-09-28,gb,103.3
2019-01-08,2019-01-09,2019-01-08,ch,103.3
2018-01-19,2018-01-20,2017-11-29,gf,103.3
2017-12-27,2017-12-28,2017-12-25,pl,103.3
2018-11-16,2018-11-17,2018-11-14,ch,103.3
2018-12-02,2018-12-03,2018-12-02,ru,103.3
2018-05-26,2018-05-27,2018-04-15,ch,103.3
2018-09-23,2018-09-24,2018-09-16,de,103.3
2018-12-27,2018-12-28,2018-12-15,de,103.3
2018-12-29,2018-12-30,2018-12-29,us,103.3
2019-01-06,2019-01-07,2019-01-06,be,103.3
2018-07-08,2018-07-09,2018-07-08,gb,103.3
2019-01-10,2019-01-11,2019-01-03,ch,103.3
2017-12-19,2017-12-20,2017-12-08,be,103.3
2018-07-28,2018-07-29,2018-07-28,nl,103.3
2017-12-22,2017-12-23,2017-12-22,null,103.3
2018-05-18,2018-05-19,2018-05-17,gf,103.3
2018-09-02,2018-09-03,2018-09-01,ch,103.3
2018-01-12,2018-01-13,2018-01-12,ch,103.3
2018-07-07,2018-07-08,2018-06-23,ch,103.3
2018-12-27,2018-12-28,2018-12-27,de,103.3
2018-12-29,2018-12-30,2018-12-29,ch,103.3
2018-10-06,2018-10-07,2018-10-05,ch,103.3
2018-10-13,2018-10-14,2018-10-10,ch,103.3
2018-07-27,2018-07-28,2018-07-24,ch,103.3
2018-07-29,2018-07-30,2018-07-30,gb,103.3
2018-05-21,2018-05-22,2018-05-09,ch,103.3
2018-08-04,2018-08-05,2018-08-03,ch,103.3
2018-06-09,2018-06-10,2018-04-15,ch,103.3
2018-12-27,2018-12-28,2018-12-22,fr,103.3
2019-01-05,2019-01-06,2019-01-04,pl,103.3
2018-07-21,2018-07-22,2018-07-21,ch,103.3
2018-08-01,2018-08-02,2018-07-30,ch,103.3
2018-12-09,2018-12-10,2018-12-09,ch,103.3
2018-12-20,2018-12-21,2018-12-20,ch,103.3
2019-01-03,2019-01-04,2018-12-25,kr,103.3
2018-10-14,2018-10-15,2018-10-13,tw,103.3
2018-09-09,2018-09-10,2018-09-09,ch,103.3
2018-12-28,2018-12-29,2018-12-20,fr,103.3
2019-01-10,2019-01-11,2019-01-09,ch,103.3
2018-09-28,2018-09-29,2018-09-28,ch,103.3
2018-10-21,2018-10-22,2018-10-19,de,103.3
2018-08-04,2018-08-05,2018-07-30,at,103.3
2018-11-01,2018-11-02,2018-11-01,ch,103.3
2018-01-21,2018-01-22,2017-12-22,de,103.3
2018-09-22,2018-09-23,2018-09-15,ch,103.3
2019-01-05,2019-01-06,2019-01-04,ch,103.3
2018-05-01,2018-05-02,2018-04-30,ch,103.3
2018-08-04,2018-08-05,2018-08-03,ch,103.3
2018-04-28,2018-04-29,2018-04-14,ch,103.3
2018-07-30,2018-07-31,2018-07-24,ch,103.3
2018-09-03,2018-09-04,2018-08-28,ch,103.3
2018-11-26,2018-11-27,2018-11-26,ch,103.3
2018-09-09,2018-09-10,2018-09-09,ch,103.3
2018-12-16,2018-12-17,2018-12-10,ch,103.3
2018-09-23,2018-09-24,2018-09-21,il,103.3
2019-01-04,2019-01-05,2018-12-22,fr,103.3
2018-07-21,2018-07-22,2018-07-04,gb,103.3
2018-07-07,2018-07-08,2018-07-07,ch,103.3
2018-02-04,2018-02-05,2018-01-28,ch,103.3
2018-08-02,2018-08-03,2018-08-02,de,103.3
2018-11-08,2018-11-09,2018-11-04,ch,103.3
2017-12-31,2018-01-01,2017-12-25,ch,103.3
2018-08-26,2018-08-27,2018-08-25,ch,103.3
2018-12-21,2018-12-22,2018-12-14,ch,103.3
2018-12-23,2018-12-24,2018-12-24,ch,103.3
2019-01-04,2019-01-05,2018-12-27,de,103.3
2018-01-19,2018-01-20,2017-11-29,gf,103.3
2018-07-26,2018-07-27,2018-07-25,ch,103.3
2018-08-24,2018-08-25,2018-08-22,gf,103.3
2018-12-06,2018-12-07,2018-12-04,ch,103.3
2018-09-22,2018-09-23,2018-09-19,be,103.3
2019-01-07,2019-01-08,2019-01-03,de,103.3
2018-10-06,2018-10-07,2018-10-03,nl,103.3
2018-07-21,2018-07-22,2018-07-20,ch,103.3
2018-10-13,2018-10-14,2018-10-12,ch,103.3
2018-08-04,2018-08-05,2018-08-02,hk,103.3
